Skill,Mask,Damage Multi,Condition 1,Dmg Con1,Con Max Dmg,Dmg Max,Notes,AOE,Cost,Game Description,Base Attack,Test AP,Attack Type,Target,Element,Wheel Steps,Base Scaling,Hit Count,Conditional Scaling,Monoco Mode
Sakapate Slam,Heavy,3,Mask active,9,Mask active + marked target,18,Increased damage to Marked targets. Heavy Mask: Increased damage.,TRUE,7.0,,1628,1542,Skill,AoE,Physical,5.0,3.0,1.0,6,mask_marked
Sapling Absorbtion,Caster,3,Mask active,9,,,Recovers 5% Health on hit. Caster Mask: Increased damage and double Heal,FALSE,6.0,,1628,1542,Skill,Single,Dark,5.0,1.0,3.0,3.0,mask
Stalact Punches,Heavy,1.8,Mask active,5.4,,,High Break damage. Heavy Mask: Increased damage.,FALSE,4.0,,1628,1542,Skill,Single,Ice,4.0,0.45,4.0,3.0,mask
Troubadour Trumpet,Caster,-,,,,,Applies a random buff to 1-3 allies. Caster Mask: Applies a second random buff.,TRUE,3.0,,1628,1542,Skill,Party,-,4.0,,0.0,,utility
Mighty Strike,,8,,,Stunned target,16,Deals double damage if the target is Stunned. Goes to Almighty Mask.,FALSE,1 GC,,1628,1542,Gradient Attack,Single,Weapon,Almighty,4.0,2.0,2.0,stunned
Sanctuary,,-,,,,,Gives 2 Shields and applies Regen to all allies for 3 turns.,FALSE,2 GC,,1628,1542,Gradient Attack,,,Level 4 Relationship with Monoco,,,,utility
Breakpoint,,40,,,,,Fills the target's Break Bar and Breaks it.,FALSE,3 GC,,1628,1542,Gradient Attack,Single,Weapon,Level Max Relationship with Monoco,40.0,1.0,1.0,direct
Lampmaster Light 0,Almighty,2,Mask active,10,,,Cast state helper for Lampmaster Light with 0 previous cast(s).,TRUE,5.0,,1628,1542,Skill,AoE,Light,1.0,2,1,5,mask
Lampmaster Light 1,Almighty,6,Mask active,30,,,Cast state helper for Lampmaster Light with 1 previous cast(s).,TRUE,5.0,,1628,1542,Skill,AoE,Light,1.0,6,1,5,mask
Lampmaster Light 2,Almighty,10,Mask active,50,,,Cast state helper for Lampmaster Light with 2 previous cast(s).,TRUE,5.0,,1628,1542,Skill,AoE,Light,1.0,10,1,5,mask
Lampmaster Light 3,Almighty,14,Mask active,70,,,Cast state helper for Lampmaster Light with 3 previous cast(s).,TRUE,5.0,,1628,1542,Skill,AoE,Light,1.0,14,1,5,mask
Lampmaster Light 4,Almighty,18,Mask active,90,,,Cast state helper for Lampmaster Light with 4 previous cast(s).,TRUE,5.0,,1628,1542,Skill,AoE,Light,1.0,18,1,5,mask
Lampmaster Light 5,Almighty,22,Mask active,110,,,Cast state helper for Lampmaster Light with 5 previous cast(s).,TRUE,5.0,,1628,1542,Skill,AoE,Light,1.0,22,1,5,mask
Chevaliere Piercing 3 Shields,Agile,7.2,Mask active,21.6,,,Workbook example row with 3 target Shields.,FALSE,3.0,,1628,1542,Skill,Single,Physical,3.0,1.2,6,3,mask
Basic Attack,,1,,,,,,FALSE,,,1628,1542,Base Attack,Single,Weapon,,1,1,1,direct
Ranged Attack,,0.15,,,,,,FALSE,,,1628,1542,Free Aim,Single,Weapon,,0.15,1,1,direct
Counter,,5.96,,,,,,FALSE,,,1628,1542,Counterattack,Single,Physical,,5.96,1,1,direct
Burn 1,,0.09,3 Turns,,,,,FALSE,,,1628,1542,Status,Single,Fire,,0.09,1,1,direct
Burn 8,,0.69,3 Turns,,,,,FALSE,,,1628,1542,Status,Single,Fire,,0.69,1,1,direct
Burn 9,,0.78,3 Turns,,,,,FALSE,,,1628,1542,Status,Single,Fire,,0.78,1,1,direct
Burn 12,,1.03,3 Turns,,,,,FALSE,,,1628,1542,Status,Single,Fire,,1.03,1,1,direct
